started_at,rows,duration_s,status
2026-02-22 02:15:19,22077,41.5,succeeded
2026-02-23 02:16:55,38550,72.4,succeeded
2026-02-24 02:18:33,39859,74.9,succeeded
2026-02-25 02:17:39,40296,75.7,succeeded
2026-02-26 02:15:15,39253,73.7,succeeded
2026-02-27 02:18:37,38883,73.0,succeeded
2026-02-28 02:18:40,24784,46.6,succeeded
2026-03-01 02:18:52,21939,41.2,succeeded
2026-03-02 02:16:39,39036,73.3,succeeded
2026-03-03 02:17:36,40835,76.7,succeeded
2026-03-04 02:18:50,40733,76.5,succeeded
2026-03-05 02:16:26,40376,75.8,succeeded
2026-03-06 02:16:19,37983,71.4,succeeded
2026-03-07 02:15:14,24110,45.3,succeeded
2026-03-08 02:15:02,21523,40.4,succeeded
2026-03-09 02:18:56,40820,76.7,succeeded
2026-03-10 02:17:09,41684,78.3,succeeded
2026-03-11 02:16:42,40557,76.2,succeeded
2026-03-12 02:18:35,41657,78.3,succeeded
2026-03-13 02:15:37,38357,72.1,succeeded
2026-03-14 02:17:37,25251,47.4,succeeded
2026-03-15 02:17:23,22892,43.0,succeeded
2026-03-16 02:18:34,41738,78.4,succeeded
2026-03-17 02:16:09,40648,76.4,succeeded
2026-03-18 02:17:44,41063,77.1,succeeded
2026-03-19 02:15:48,41751,78.4,succeeded
2026-03-20 02:16:08,40785,76.6,succeeded
2026-03-21 02:17:40,25664,48.2,succeeded
2026-03-22 02:17:12,22795,42.8,succeeded
2026-03-23 02:18:22,42269,79.4,succeeded
2026-03-24 02:17:14,41688,78.3,succeeded
2026-03-25 02:17:21,41392,77.8,succeeded
2026-03-26 02:18:49,41422,77.8,succeeded
2026-03-27 02:15:50,39652,74.5,succeeded
2026-03-28 02:18:38,26330,49.5,succeeded
2026-03-29 02:16:26,22872,43.0,succeeded
2026-03-30 02:17:13,42588,80.0,succeeded
2026-03-31 02:16:59,42969,80.7,succeeded
2026-04-01 02:17:29,42002,78.9,succeeded
2026-04-02 02:16:07,42445,79.7,succeeded
2026-04-03 02:15:47,40667,76.4,succeeded
2026-04-04 02:15:45,25665,48.2,succeeded
2026-04-05 02:15:54,23735,44.6,succeeded
2026-04-06 02:18:10,41171,77.3,succeeded
2026-04-07 02:17:50,42394,79.6,succeeded
2026-04-08 02:17:42,44680,83.9,succeeded
2026-04-09 02:18:42,43022,80.8,succeeded
2026-04-10 02:15:27,40545,76.2,succeeded
2026-04-11 02:15:49,26329,49.5,succeeded
2026-04-12 02:18:03,23549,44.2,succeeded
2026-04-13 02:16:39,42046,79.0,succeeded
2026-04-14 02:16:38,44744,84.1,succeeded
2026-04-15 02:17:55,44808,84.2,succeeded
2026-04-16 02:15:30,42809,80.4,succeeded
2026-04-17 02:17:34,40991,77.0,succeeded
2026-04-18 02:16:52,26861,50.5,succeeded
2026-04-19 02:15:14,23897,44.9,succeeded
2026-04-20 02:16:26,43577,81.9,succeeded
2026-04-21 02:15:40,45355,85.3,succeeded
2026-04-22 02:18:20,43448,81.6,succeeded
2026-04-23 02:16:29,44648,83.9,succeeded
2026-04-24 02:15:06,43264,81.3,succeeded
2026-04-25 02:18:21,27090,50.9,succeeded
2026-04-26 02:17:44,23566,44.3,succeeded
2026-04-27 02:15:28,44869,84.3,succeeded
2026-04-28 02:17:41,45402,85.4,succeeded
2026-04-29 02:15:44,45671,86.0,succeeded
2026-04-30 02:15:06,44517,83.6,succeeded
2026-05-01 02:18:34,42938,80.7,succeeded
2026-05-02 02:16:36,26668,50.1,succeeded
2026-05-03 02:18:06,24378,45.8,succeeded
2026-05-04 02:17:28,43120,81.0,succeeded
2026-05-05 02:15:33,45607,85.8,succeeded
2026-05-06 02:15:52,45123,84.8,succeeded
2026-05-07 02:17:04,45270,85.1,succeeded
2026-05-08 02:17:33,44055,82.8,succeeded
2026-05-09 02:17:55,28393,53.3,succeeded
2026-05-10 02:15:35,24132,45.3,succeeded
2026-05-11 02:15:22,44802,84.2,succeeded
2026-05-12 02:17:14,46995,90.0,succeeded
2026-05-13 02:15:38,45376,85.3,succeeded
2026-05-14 02:15:21,46770,89.2,succeeded
2026-05-15 02:17:56,44899,84.3,succeeded
2026-05-16 02:18:52,28325,53.2,succeeded
2026-05-17 02:18:43,24250,45.6,succeeded
2026-05-18 02:17:43,44224,83.1,succeeded
2026-05-19 02:17:14,46563,88.5,succeeded
2026-05-20 02:18:12,48126,94.6,succeeded
2026-05-21 02:16:35,47489,91.8,succeeded
2026-05-22 02:18:04,44202,83.0,succeeded
2026-05-23 02:15:16,29061,54.6,succeeded
2026-05-24 02:15:14,24709,46.4,succeeded
2026-05-25 02:17:27,47317,91.2,succeeded
2026-05-26 02:15:48,48096,94.4,succeeded
2026-05-27 02:16:03,48535,96.5,succeeded
2026-05-28 02:18:21,45790,86.3,succeeded
2026-05-29 02:15:53,45983,86.8,succeeded
2026-05-30 02:17:58,28434,53.4,succeeded
2026-05-31 02:16:01,26034,48.9,succeeded
2026-06-01 02:15:26,46822,89.4,succeeded
2026-06-02 02:19:00,47155,90.6,succeeded
2026-06-03 02:17:36,49346,100.7,succeeded
2026-06-04 02:17:39,47728,92.8,succeeded
2026-06-05 02:16:27,44691,84.0,succeeded
2026-06-06 02:18:12,29942,56.2,succeeded
2026-06-07 02:15:24,25861,48.6,succeeded
2026-06-08 02:18:16,47972,93.9,succeeded
2026-06-09 02:16:15,48302,95.4,succeeded
2026-06-10 02:17:04,47600,92.3,succeeded
2026-06-11 02:17:57,47601,92.3,succeeded
2026-06-12 02:15:02,45566,85.7,succeeded
2026-06-13 02:18:03,30087,56.5,succeeded
2026-06-14 02:16:27,26226,49.3,succeeded
2026-06-15 02:16:56,48260,95.2,succeeded
2026-06-16 02:17:55,49303,100.5,succeeded
2026-06-17 02:17:14,50454,107.4,succeeded
2026-06-18 02:18:25,47581,92.2,succeeded
2026-06-19 02:18:02,46149,87.3,succeeded
2026-06-20 02:15:10,29696,55.8,succeeded
2026-06-21 02:16:07,26607,50.0,succeeded
2026-06-22 02:16:38,49420,101.2,succeeded
2026-06-23 02:18:44,50578,108.3,succeeded
2026-06-24 02:17:23,50237,106.0,succeeded
2026-06-25 02:16:42,47682,92.6,succeeded
2026-06-26 02:16:07,47637,92.4,succeeded
2026-06-27 02:16:26,30571,57.4,succeeded
2026-06-28 02:16:04,26489,49.8,succeeded
2026-06-29 02:18:20,48724,97.4,succeeded
2026-06-30 02:15:13,49227,100.1,succeeded
2026-07-01 02:18:24,50938,110.7,succeeded
2026-07-02 02:18:46,48954,98.6,succeeded
2026-07-03 02:15:36,47580,92.2,succeeded
2026-07-04 02:16:34,30827,57.9,succeeded
2026-07-05 02:18:09,27790,52.2,succeeded
2026-07-06 02:17:41,50274,106.3,succeeded
2026-07-07 02:18:47,50931,110.7,succeeded
2026-07-08 02:15:10,52296,120.0,failed
2026-07-09 02:17:34,49275,100.3,succeeded
2026-07-10 02:15:51,50331,106.6,succeeded
2026-07-11 02:18:21,31919,60.0,succeeded
2026-07-12 02:17:34,27664,52.0,succeeded
2026-07-13 02:18:59,51098,111.8,succeeded
2026-07-14 02:17:44,52778,120.0,failed
2026-07-15 02:17:10,52299,120.0,failed
2026-07-16 02:16:51,52207,120.0,failed
2026-07-17 02:17:21,50127,105.4,succeeded
2026-07-18 02:17:25,30595,57.5,succeeded
2026-07-19 02:15:20,27768,52.2,succeeded
2026-07-20 02:16:35,50390,107.0,succeeded
2026-07-21 02:17:00,51767,116.7,succeeded
2026-07-22 02:18:07,53351,120.0,failed
2026-07-23 02:18:08,51194,112.5,succeeded
2026-07-24 02:16:31,50398,107.1,succeeded
2026-07-25 02:17:18,32142,60.4,succeeded
2026-07-26 02:18:42,27717,52.1,succeeded
2026-07-27 02:16:59,51049,111.5,succeeded
2026-07-28 02:15:57,52651,120.0,failed
2026-07-29 02:15:29,51886,117.7,succeeded
2026-07-30 02:18:29,51402,114.0,succeeded
2026-07-31 02:17:55,50575,108.2,succeeded
2026-08-01 02:16:53,32985,62.0,succeeded
2026-08-02 02:15:26,29321,55.1,succeeded
2026-08-03 02:17:10,51173,112.4,succeeded
2026-08-04 02:18:49,51929,118.0,succeeded
2026-08-05 02:18:31,52761,120.0,failed
2026-08-06 02:16:35,52945,120.0,failed
2026-08-07 02:16:00,51280,113.1,succeeded
2026-08-08 02:16:54,32251,60.6,succeeded
2026-08-09 02:16:49,28265,53.1,succeeded
2026-08-10 02:15:59,53535,120.0,failed
2026-08-11 02:17:26,52937,120.0,failed
2026-08-12 02:15:49,54769,120.0,failed
2026-08-13 02:18:29,53347,120.0,failed
2026-08-14 02:17:45,53516,120.0,failed
2026-08-15 02:18:28,33590,63.1,succeeded
2026-08-16 02:18:45,29668,55.7,succeeded
2026-08-17 02:15:15,54317,120.0,failed
2026-08-18 02:16:12,56080,120.0,failed
2026-08-19 02:18:34,56790,120.0,failed
2026-08-20 02:16:44,55574,120.0,failed
2026-08-21 02:16:09,52708,120.0,failed
