started_at,customer,mode,rows,duration_s,status,failure_reason
2026-07-23 02:18:08,Lumen Labs,scheduled,51194,112.5,succeeded,
2026-07-23 03:02:08,Ember Commerce,scheduled,13333,25.0,succeeded,
2026-07-24 02:16:31,Lumen Labs,scheduled,50398,107.1,succeeded,
2026-07-24 03:01:03,Ember Commerce,scheduled,12396,23.3,succeeded,
2026-07-24 06:01:59,Fieldnote Studio,scheduled,1843,3.5,succeeded,
2026-07-25 02:17:18,Lumen Labs,scheduled,32142,60.4,succeeded,
2026-07-25 03:02:17,Ember Commerce,scheduled,7929,14.9,succeeded,
2026-07-26 02:18:42,Lumen Labs,scheduled,27717,52.1,succeeded,
2026-07-26 03:02:56,Ember Commerce,scheduled,6881,12.9,succeeded,
2026-07-27 02:16:59,Lumen Labs,scheduled,51049,111.5,succeeded,
2026-07-27 03:02:30,Ember Commerce,scheduled,12901,24.2,succeeded,
2026-07-27 05:33:35,Harbor Mobility,scheduled,31364,58.9,succeeded,
2026-07-27 12:33:00,Fieldnote Studio,interactive,1161,2.2,succeeded,
2026-07-28 02:15:57,Lumen Labs,scheduled,52651,120.0,failed,worker timeout after 120s
2026-07-28 03:03:40,Ember Commerce,scheduled,12169,22.9,succeeded,
2026-07-28 08:53:07,Lumen Labs,interactive,52558,123.1,succeeded,
2026-07-29 02:15:29,Lumen Labs,scheduled,51886,117.7,succeeded,
2026-07-29 03:03:00,Ember Commerce,scheduled,13608,25.6,succeeded,
2026-07-30 02:18:29,Lumen Labs,scheduled,51402,114.0,succeeded,
2026-07-30 03:03:58,Ember Commerce,scheduled,13434,25.2,succeeded,
2026-07-31 02:17:55,Lumen Labs,scheduled,50575,108.2,succeeded,
2026-07-31 03:03:31,Ember Commerce,scheduled,12313,23.1,succeeded,
2026-07-31 06:03:13,Fieldnote Studio,scheduled,1611,3.0,succeeded,
2026-07-31 10:06:00,Fieldnote Studio,interactive,811,1.5,succeeded,
2026-08-01 02:16:53,Lumen Labs,scheduled,32985,62.0,succeeded,
2026-08-01 03:03:01,Ember Commerce,scheduled,7405,13.9,succeeded,
2026-08-02 02:15:26,Lumen Labs,scheduled,29321,55.1,succeeded,
2026-08-02 03:02:59,Ember Commerce,scheduled,7014,13.2,succeeded,
2026-08-03 02:17:10,Lumen Labs,scheduled,51173,112.4,succeeded,
2026-08-03 03:01:19,Ember Commerce,scheduled,12417,23.3,succeeded,
2026-08-03 05:33:34,Harbor Mobility,scheduled,29925,56.2,succeeded,
2026-08-03 13:48:00,Harbor Mobility,interactive,5170,9.7,succeeded,
2026-08-04 02:18:49,Lumen Labs,scheduled,51929,118.0,succeeded,
2026-08-04 03:01:09,Ember Commerce,scheduled,13530,25.4,succeeded,
2026-08-04 16:58:00,Lumen Labs,interactive,7179,13.5,succeeded,
2026-08-05 02:18:31,Lumen Labs,scheduled,52761,120.0,failed,worker timeout after 120s
2026-08-05 03:01:40,Ember Commerce,scheduled,12563,23.6,succeeded,
2026-08-05 08:40:58,Lumen Labs,interactive,52586,123.3,succeeded,
2026-08-05 13:44:00,Fieldnote Studio,interactive,930,0.7,cancelled,cancelled by the requester
2026-08-06 02:16:35,Lumen Labs,scheduled,52945,120.0,failed,worker timeout after 120s
2026-08-06 03:02:21,Ember Commerce,scheduled,12316,23.1,succeeded,
2026-08-06 08:55:02,Lumen Labs,interactive,53044,127.2,succeeded,
2026-08-06 12:45:00,Lumen Labs,interactive,7128,13.4,succeeded,
2026-08-07 02:16:00,Lumen Labs,scheduled,51280,113.1,succeeded,
2026-08-07 03:02:21,Ember Commerce,scheduled,12024,22.6,succeeded,
2026-08-07 06:00:31,Fieldnote Studio,scheduled,1712,3.2,succeeded,
2026-08-07 14:57:00,Lumen Labs,interactive,16718,31.4,succeeded,
2026-08-08 02:16:54,Lumen Labs,scheduled,32251,60.6,succeeded,
2026-08-08 03:00:19,Ember Commerce,scheduled,8072,15.2,succeeded,
2026-08-09 02:16:49,Lumen Labs,scheduled,28265,53.1,succeeded,
2026-08-09 03:00:05,Ember Commerce,scheduled,6836,12.8,succeeded,
2026-08-10 02:15:59,Lumen Labs,scheduled,53535,120.0,failed,worker timeout after 120s
2026-08-10 03:02:22,Ember Commerce,scheduled,12839,24.1,succeeded,
2026-08-10 05:33:20,Harbor Mobility,scheduled,29969,56.3,succeeded,
2026-08-10 08:55:31,Lumen Labs,interactive,53864,134.6,succeeded,
2026-08-10 15:35:00,Harbor Mobility,interactive,6253,11.7,succeeded,
2026-08-11 02:17:26,Lumen Labs,scheduled,52937,120.0,failed,worker timeout after 120s
2026-08-11 03:00:44,Ember Commerce,scheduled,12861,24.2,succeeded,
2026-08-11 08:50:53,Lumen Labs,interactive,53039,127.2,succeeded,
2026-08-11 14:49:00,Lumen Labs,interactive,5979,11.2,succeeded,
2026-08-12 02:15:49,Lumen Labs,scheduled,54769,120.0,failed,worker timeout after 120s
2026-08-12 03:03:51,Ember Commerce,scheduled,13584,25.5,succeeded,
2026-08-12 08:45:18,Lumen Labs,interactive,55237,148.4,succeeded,
2026-08-12 09:26:00,Lumen Labs,interactive,20402,38.3,succeeded,
2026-08-13 02:18:29,Lumen Labs,scheduled,53347,120.0,failed,worker timeout after 120s
2026-08-13 03:01:07,Ember Commerce,scheduled,12453,23.4,succeeded,
2026-08-13 08:55:12,Lumen Labs,interactive,53843,134.4,succeeded,
2026-08-14 02:17:45,Lumen Labs,scheduled,53516,120.0,failed,worker timeout after 120s
2026-08-14 03:02:42,Ember Commerce,scheduled,12296,23.1,succeeded,
2026-08-14 06:04:07,Fieldnote Studio,scheduled,1769,3.3,succeeded,
2026-08-14 08:47:54,Lumen Labs,interactive,53095,127.6,succeeded,
2026-08-15 02:18:28,Lumen Labs,scheduled,33590,63.1,succeeded,
2026-08-15 03:00:38,Ember Commerce,scheduled,7645,14.4,succeeded,
2026-08-16 02:18:45,Lumen Labs,scheduled,29668,55.7,succeeded,
2026-08-16 03:02:33,Ember Commerce,scheduled,7315,13.7,succeeded,
2026-08-17 02:15:15,Lumen Labs,scheduled,54317,120.0,failed,worker timeout after 120s
2026-08-17 03:02:47,Ember Commerce,scheduled,12462,23.4,succeeded,
2026-08-17 05:31:31,Harbor Mobility,scheduled,30865,58.0,succeeded,
2026-08-17 08:49:05,Lumen Labs,interactive,54647,142.3,succeeded,
2026-08-18 02:16:12,Lumen Labs,scheduled,56080,120.0,failed,worker timeout after 120s
2026-08-18 03:00:06,Ember Commerce,scheduled,13604,25.6,succeeded,
2026-08-18 08:42:46,Lumen Labs,interactive,55992,156.6,succeeded,
2026-08-19 02:18:34,Lumen Labs,scheduled,56790,120.0,failed,worker timeout after 120s
2026-08-19 03:04:00,Ember Commerce,scheduled,12567,23.6,succeeded,
2026-08-19 08:47:31,Lumen Labs,interactive,56604,163.7,succeeded,
2026-08-19 12:08:00,Ember Commerce,interactive,6049,11.4,succeeded,
2026-08-20 02:16:44,Lumen Labs,scheduled,55574,120.0,failed,worker timeout after 120s
2026-08-20 03:02:03,Ember Commerce,scheduled,13496,25.4,succeeded,
2026-08-20 08:41:31,Lumen Labs,interactive,55889,155.5,succeeded,
2026-08-20 15:21:00,Lumen Labs,interactive,12165,22.9,succeeded,
2026-08-21 02:16:09,Lumen Labs,scheduled,52708,120.0,failed,worker timeout after 120s
2026-08-21 03:00:37,Ember Commerce,scheduled,11752,22.1,succeeded,
2026-08-21 06:02:36,Fieldnote Studio,scheduled,2111,4.0,succeeded,
2026-08-21 08:53:56,Lumen Labs,interactive,52290,120.9,succeeded,
