number,customer,description,issued_on,due_on,amount_usd,status,paid_on
2508-42,Ember Commerce,Northstar Growth plan,2025-08-05,2025-09-05,289.00,paid,2025-09-05
2508-18,Fieldnote Studio,Northstar Team plan,2025-08-08,2025-09-08,99.00,paid,2025-09-08
2508-63,Harbor Mobility,Northstar Scale plan,2025-08-11,2025-09-11,356.00,paid,2025-09-11
2508-71,Lumen Labs,Northstar Scale plan,2025-08-14,2025-09-30,412.00,paid,2025-09-30
2509-42,Ember Commerce,Northstar Growth plan,2025-09-05,2025-10-05,289.00,paid,2025-10-05
2509-18,Fieldnote Studio,Northstar Team plan,2025-09-08,2025-10-08,99.00,paid,2025-10-08
2509-63,Harbor Mobility,Northstar Scale plan,2025-09-11,2025-10-11,356.00,paid,2025-10-11
2509-71,Lumen Labs,Northstar Scale plan,2025-09-14,2025-10-30,412.00,paid,2025-10-30
2510-42,Ember Commerce,Northstar Growth plan,2025-10-05,2025-11-05,289.00,paid,2025-11-05
2510-18,Fieldnote Studio,Northstar Team plan,2025-10-08,2025-11-08,99.00,paid,2025-11-08
2510-63,Harbor Mobility,Northstar Scale plan,2025-10-11,2025-11-11,356.00,paid,2025-11-11
2510-71,Lumen Labs,Northstar Scale plan,2025-10-14,2025-11-30,412.00,paid,2025-11-30
2511-42,Ember Commerce,Northstar Growth plan,2025-11-05,2025-12-05,289.00,paid,2025-12-05
2511-18,Fieldnote Studio,Northstar Team plan,2025-11-08,2025-12-08,99.00,paid,2025-12-08
2511-63,Harbor Mobility,Northstar Scale plan,2025-11-11,2025-12-11,356.00,paid,2025-12-11
2511-71,Lumen Labs,Northstar Scale plan,2025-11-14,2025-12-30,412.00,paid,2025-12-30
2512-42,Ember Commerce,Northstar Growth plan,2025-12-05,2026-01-05,289.00,paid,2026-01-05
2512-18,Fieldnote Studio,Northstar Team plan,2025-12-08,2026-01-08,99.00,paid,2026-01-08
2512-63,Harbor Mobility,Northstar Scale plan,2025-12-11,2026-01-11,356.00,paid,2026-01-11
2512-71,Lumen Labs,Northstar Scale plan,2025-12-14,2026-01-30,412.00,paid,2026-01-30
2601-42,Ember Commerce,Northstar Growth plan,2026-01-05,2026-02-05,289.00,paid,2026-02-05
2601-18,Fieldnote Studio,Northstar Team plan,2026-01-08,2026-02-08,99.00,paid,2026-02-08
2601-63,Harbor Mobility,Northstar Scale plan,2026-01-11,2026-02-11,356.00,paid,2026-02-11
2601-71,Lumen Labs,Northstar Scale plan,2026-01-14,2026-02-28,412.00,paid,2026-02-28
2602-42,Ember Commerce,Northstar Growth plan,2026-02-05,2026-03-05,289.00,paid,2026-03-05
2602-18,Fieldnote Studio,Northstar Team plan,2026-02-08,2026-03-08,99.00,paid,2026-03-08
2602-63,Harbor Mobility,Northstar Scale plan,2026-02-11,2026-03-11,356.00,paid,2026-03-11
2602-71,Lumen Labs,Northstar Scale plan,2026-02-14,2026-03-30,412.00,paid,2026-03-30
2603-42,Ember Commerce,Northstar Growth plan,2026-03-05,2026-04-05,289.00,paid,2026-04-05
2603-18,Fieldnote Studio,Northstar Team plan,2026-03-08,2026-04-08,99.00,paid,2026-04-08
2603-63,Harbor Mobility,Northstar Scale plan,2026-03-11,2026-04-11,356.00,paid,2026-04-11
2603-71,Lumen Labs,Northstar Scale plan,2026-03-14,2026-04-30,412.00,paid,2026-04-30
2604-42,Ember Commerce,Northstar Growth plan,2026-04-05,2026-05-05,289.00,paid,2026-05-05
2604-18,Fieldnote Studio,Northstar Team plan,2026-04-08,2026-05-08,99.00,paid,2026-05-08
2604-63,Harbor Mobility,Northstar Scale plan,2026-04-11,2026-05-11,356.00,paid,2026-05-11
2604-71,Lumen Labs,Northstar Scale plan,2026-04-14,2026-05-30,412.00,paid,2026-05-30
2605-42,Ember Commerce,Northstar Growth plan,2026-05-05,2026-06-05,289.00,paid,2026-06-05
2605-18,Fieldnote Studio,Northstar Team plan,2026-05-08,2026-06-08,99.00,paid,2026-06-08
2605-63,Harbor Mobility,Northstar Scale plan,2026-05-11,2026-06-11,356.00,paid,2026-06-11
2605-71,Lumen Labs,Northstar Scale plan,2026-05-14,2026-06-30,412.00,paid,2026-06-30
2606-42,Ember Commerce,Northstar Growth plan,2026-06-05,2026-07-05,289.00,paid,2026-07-05
2606-18,Fieldnote Studio,Northstar Team plan,2026-06-08,2026-07-08,99.00,paid,2026-07-08
2606-63,Harbor Mobility,Northstar Scale plan,2026-06-11,2026-07-11,356.00,paid,2026-07-11
2606-71,Lumen Labs,Northstar Scale plan,2026-06-14,2026-07-30,412.00,paid,2026-07-30
2607-42,Ember Commerce,Northstar Growth plan,2026-07-05,2026-08-05,289.00,paid,2026-08-05
2607-18,Fieldnote Studio,Northstar Team plan,2026-07-08,2026-08-08,99.00,paid,2026-08-08
2607-63,Harbor Mobility,Northstar Scale plan,2026-07-11,2026-08-11,356.00,paid,2026-08-11
2607-71,Lumen Labs,Northstar Scale plan,2026-07-14,2026-08-30,412.00,paid,2026-08-30
4471,Lumen Labs,Northstar Scale plan — August,2026-08-14,2026-08-30,412.00,open,
