date,account,record,debit_usd,credit_usd
2025-08-02,operating-cash,bill-202508-cloudharbor,0.00,731.00
2025-08-02,operating-expense,bill-202508-cloudharbor,731.00,0.00
2025-08-05,accounts-receivable,inv-202508-ember,289.00,0.00
2025-08-05,subscription-revenue,inv-202508-ember,0.00,289.00
2025-08-08,accounts-receivable,inv-202508-fieldnote,99.00,0.00
2025-08-08,subscription-revenue,inv-202508-fieldnote,0.00,99.00
2025-08-11,accounts-receivable,inv-202508-harbor,356.00,0.00
2025-08-11,subscription-revenue,inv-202508-harbor,0.00,356.00
2025-08-12,operating-cash,bill-202508-cedar,0.00,184.00
2025-08-12,operating-expense,bill-202508-cedar,184.00,0.00
2025-08-14,accounts-receivable,inv-202508-lumen,412.00,0.00
2025-08-14,subscription-revenue,inv-202508-lumen,0.00,412.00
2025-09-02,operating-cash,bill-202509-cloudharbor,0.00,731.00
2025-09-02,operating-expense,bill-202509-cloudharbor,731.00,0.00
2025-09-05,accounts-receivable,inv-202509-ember,289.00,0.00
2025-09-05,subscription-revenue,inv-202509-ember,0.00,289.00
2025-09-05,operating-cash,pay-inv-202508-ember,289.00,0.00
2025-09-05,accounts-receivable,pay-inv-202508-ember,0.00,289.00
2025-09-08,accounts-receivable,inv-202509-fieldnote,99.00,0.00
2025-09-08,subscription-revenue,inv-202509-fieldnote,0.00,99.00
2025-09-08,operating-cash,pay-inv-202508-fieldnote,99.00,0.00
2025-09-08,accounts-receivable,pay-inv-202508-fieldnote,0.00,99.00
2025-09-11,accounts-receivable,inv-202509-harbor,356.00,0.00
2025-09-11,subscription-revenue,inv-202509-harbor,0.00,356.00
2025-09-11,operating-cash,pay-inv-202508-harbor,356.00,0.00
2025-09-11,accounts-receivable,pay-inv-202508-harbor,0.00,356.00
2025-09-12,operating-cash,bill-202509-cedar,0.00,184.00
2025-09-12,operating-expense,bill-202509-cedar,184.00,0.00
2025-09-14,accounts-receivable,inv-202509-lumen,412.00,0.00
2025-09-14,subscription-revenue,inv-202509-lumen,0.00,412.00
2025-09-30,operating-cash,pay-inv-202508-lumen,412.00,0.00
2025-09-30,accounts-receivable,pay-inv-202508-lumen,0.00,412.00
2025-10-02,operating-cash,bill-202510-cloudharbor,0.00,731.00
2025-10-02,operating-expense,bill-202510-cloudharbor,731.00,0.00
2025-10-05,accounts-receivable,inv-202510-ember,289.00,0.00
2025-10-05,subscription-revenue,inv-202510-ember,0.00,289.00
2025-10-05,operating-cash,pay-inv-202509-ember,289.00,0.00
2025-10-05,accounts-receivable,pay-inv-202509-ember,0.00,289.00
2025-10-08,accounts-receivable,inv-202510-fieldnote,99.00,0.00
2025-10-08,subscription-revenue,inv-202510-fieldnote,0.00,99.00
2025-10-08,operating-cash,pay-inv-202509-fieldnote,99.00,0.00
2025-10-08,accounts-receivable,pay-inv-202509-fieldnote,0.00,99.00
2025-10-11,accounts-receivable,inv-202510-harbor,356.00,0.00
2025-10-11,subscription-revenue,inv-202510-harbor,0.00,356.00
2025-10-11,operating-cash,pay-inv-202509-harbor,356.00,0.00
2025-10-11,accounts-receivable,pay-inv-202509-harbor,0.00,356.00
2025-10-12,operating-cash,bill-202510-cedar,0.00,184.00
2025-10-12,operating-expense,bill-202510-cedar,184.00,0.00
2025-10-14,accounts-receivable,inv-202510-lumen,412.00,0.00
2025-10-14,subscription-revenue,inv-202510-lumen,0.00,412.00
2025-10-30,operating-cash,pay-inv-202509-lumen,412.00,0.00
2025-10-30,accounts-receivable,pay-inv-202509-lumen,0.00,412.00
2025-11-02,operating-cash,bill-202511-cloudharbor,0.00,731.00
2025-11-02,operating-expense,bill-202511-cloudharbor,731.00,0.00
2025-11-05,accounts-receivable,inv-202511-ember,289.00,0.00
2025-11-05,subscription-revenue,inv-202511-ember,0.00,289.00
2025-11-05,operating-cash,pay-inv-202510-ember,289.00,0.00
2025-11-05,accounts-receivable,pay-inv-202510-ember,0.00,289.00
2025-11-08,accounts-receivable,inv-202511-fieldnote,99.00,0.00
2025-11-08,subscription-revenue,inv-202511-fieldnote,0.00,99.00
2025-11-08,operating-cash,pay-inv-202510-fieldnote,99.00,0.00
2025-11-08,accounts-receivable,pay-inv-202510-fieldnote,0.00,99.00
2025-11-11,accounts-receivable,inv-202511-harbor,356.00,0.00
2025-11-11,subscription-revenue,inv-202511-harbor,0.00,356.00
2025-11-11,operating-cash,pay-inv-202510-harbor,356.00,0.00
2025-11-11,accounts-receivable,pay-inv-202510-harbor,0.00,356.00
2025-11-12,operating-cash,bill-202511-cedar,0.00,184.00
2025-11-12,operating-expense,bill-202511-cedar,184.00,0.00
2025-11-14,accounts-receivable,inv-202511-lumen,412.00,0.00
2025-11-14,subscription-revenue,inv-202511-lumen,0.00,412.00
2025-11-30,operating-cash,pay-inv-202510-lumen,412.00,0.00
2025-11-30,accounts-receivable,pay-inv-202510-lumen,0.00,412.00
2025-12-02,operating-cash,bill-202512-cloudharbor,0.00,731.00
2025-12-02,operating-expense,bill-202512-cloudharbor,731.00,0.00
2025-12-05,accounts-receivable,inv-202512-ember,289.00,0.00
2025-12-05,subscription-revenue,inv-202512-ember,0.00,289.00
2025-12-05,operating-cash,pay-inv-202511-ember,289.00,0.00
2025-12-05,accounts-receivable,pay-inv-202511-ember,0.00,289.00
2025-12-08,accounts-receivable,inv-202512-fieldnote,99.00,0.00
2025-12-08,subscription-revenue,inv-202512-fieldnote,0.00,99.00
2025-12-08,operating-cash,pay-inv-202511-fieldnote,99.00,0.00
2025-12-08,accounts-receivable,pay-inv-202511-fieldnote,0.00,99.00
2025-12-11,accounts-receivable,inv-202512-harbor,356.00,0.00
2025-12-11,subscription-revenue,inv-202512-harbor,0.00,356.00
2025-12-11,operating-cash,pay-inv-202511-harbor,356.00,0.00
2025-12-11,accounts-receivable,pay-inv-202511-harbor,0.00,356.00
2025-12-12,operating-cash,bill-202512-cedar,0.00,184.00
2025-12-12,operating-expense,bill-202512-cedar,184.00,0.00
2025-12-14,accounts-receivable,inv-202512-lumen,412.00,0.00
2025-12-14,subscription-revenue,inv-202512-lumen,0.00,412.00
2025-12-30,operating-cash,pay-inv-202511-lumen,412.00,0.00
2025-12-30,accounts-receivable,pay-inv-202511-lumen,0.00,412.00
2026-01-02,operating-cash,bill-202601-cloudharbor,0.00,731.00
2026-01-02,operating-expense,bill-202601-cloudharbor,731.00,0.00
2026-01-05,accounts-receivable,inv-202601-ember,289.00,0.00
2026-01-05,subscription-revenue,inv-202601-ember,0.00,289.00
2026-01-05,operating-cash,pay-inv-202512-ember,289.00,0.00
2026-01-05,accounts-receivable,pay-inv-202512-ember,0.00,289.00
2026-01-08,accounts-receivable,inv-202601-fieldnote,99.00,0.00
2026-01-08,subscription-revenue,inv-202601-fieldnote,0.00,99.00
2026-01-08,operating-cash,pay-inv-202512-fieldnote,99.00,0.00
2026-01-08,accounts-receivable,pay-inv-202512-fieldnote,0.00,99.00
2026-01-11,accounts-receivable,inv-202601-harbor,356.00,0.00
